id_book,id_user,user_gender,user_age,rating,date
3,6344,0,37,5,2019-12-15
4,5555,1,24,5,2020-05-20
8,10085,0,29,6,2017-02-16
4,1600,0,24,9,2022-06-03
3,9939,0,31,6,2017-01-31
3,8563,1,28,5,2013-11-09
7,4232,0,32,5,2013-05-25
7,6431,1,35,5,2017-03-28
2,7413,1,28,8,2022-03-07
6,9866,0,31,7,2019-09-06
8,8456,0,23,6,2023-02-27
0,7670,0,36,7,2016-11-26
4,8086,1,31,7,2022-10-04
9,1242,1,26,5,2022-12-13
6,969,1,29,8,2022-05-21
9,5604,1,29,7,2022-12-20
8,7470,0,34,7,2019-11-29
7,5813,0,38,8,2015-05-12
3,9646,1,27,8,2014-02-16
0,7045,1,34,6,2013-03-17
7,4569,1,36,3,2014-05-16
2,6585,1,29,3,2020-06-01
7,9815,0,37,6,2022-10-08
3,7343,0,36,9,2018-11-14
7,7167,0,23,6,2020-10-23
1,3778,0,33,3,2021-10-15
6,7438,0,38,5,2013-05-09
7,9884,1,34,7,2018-03-03
7,6128,0,30,6,2015-04-02
1,9642,0,36,6,2020-08-06
9,10263,0,36,6,2014-04-02
5,122,0,33,6,2022-10-15
2,4935,1,32,6,2017-07-16
4,8831,0,35,8,2014-03-02
6,9906,0,36,8,2022-04-27
9,6822,1,39,7,2019-04-02
4,1127,0,33,6,2021-01-19
4,8808,1,31,4,2013-01-02
7,353,1,35,5,2018-02-12
7,1265,0,35,7,2013-08-19
3,3790,0,29,8,2017-10-22
4,5243,1,37,9,2020-07-23
4,6380,1,34,6,2016-03-24
6,8239,1,30,7,2016-12-31
1,9796,0,25,7,2019-07-18
4,7163,1,39,6,2018-06-02
7,4261,1,30,6,2013-02-19
4,5893,1,37,6,2017-06-14
8,2401,0,29,4,2020-03-22
5,4925,0,27,7,2015-10-29
8,635,1,23,6,2018-05-15
9,2,1,31,7,2015-01-30
7,5230,1,30,7,2020-12-09
1,7455,0,31,9,2018-08-23
0,6877,0,27,8,2018-05-02
0,5268,1,32,5,2013-12-05
3,5745,0,34,7,2015-12-03
6,7204,1,34,9,2017-12-14
2,2999,0,29,8,2018-05-08
4,678,1,30,5,2019-01-10
5,2413,0,30,10,2020-11-28
0,5939,1,32,7,2019-08-11
2,2302,1,25,8,2013-01-19
8,121,0,33,7,2018-12-07
3,1141,0,31,8,2018-09-16
8,8906,0,34,8,2016-05-26
9,7436,0,23,8,2015-08-14
3,7133,0,38,9,2021-10-11
4,6155,0,25,7,2016-06-20
2,8941,0,39,8,2019-03-31
5,3546,1,35,8,2013-09-18
3,9456,1,29,9,2020-05-03
9,6816,0,31,7,2017-05-13
8,4058,1,36,7,2015-05-15
1,5840,0,37,6,2016-10-25
5,9035,0,33,5,2013-05-18
8,6723,0,36,7,2022-07-09
9,5745,0,29,5,2013-05-03
5,6318,0,38,6,2014-03-15
1,1971,1,25,7,2022-10-23
5,3879,0,35,6,2021-12-16
1,9090,1,27,6,2015-06-22
6,7313,0,28,7,2019-08-23
6,3111,0,31,6,2017-11-02
1,5451,0,33,6,2021-05-10
0,9473,0,30,7,2021-01-18
2,5612,0,35,7,2017-01-25
9,3472,0,24,4,2015-01-03
8,2760,1,29,4,2016-02-14
6,3977,1,35,6,2013-03-17
3,4226,1,33,8,2021-09-25
9,8478,0,27,6,2015-07-04
7,10033,1,30,7,2022-12-31
9,2999,0,36,7,2015-01-24
2,2930,0,29,10,2014-05-14
5,6080,1,35,8,2020-09-04
4,4587,0,27,8,2021-01-22
8,1289,1,27,6,2015-10-12
7,774,0,31,5,2020-07-21
0,531,0,25,6,2022-07-10
9,5474,0,34,9,2018-01-26
6,10164,1,29,8,2022-06-09
4,2641,1,36,6,2013-11-06
5,3862,0,39,6,2019-02-08
1,7756,0,43,9,2017-04-19
3,7641,1,33,9,2014-11-28
0,2010,1,34,7,2018-06-01
3,9927,0,28,9,2013-02-09
6,3936,0,34,6,2020-12-12
5,5299,1,35,8,2015-01-02
1,4318,0,30,8,2015-09-01
1,3294,0,34,6,2014-07-22
2,5171,1,26,9,2022-01-22
8,3496,1,38,9,2018-07-03
7,9615,1,36,6,2017-02-05
4,7823,0,36,7,2022-03-27
2,10357,0,29,7,2021-10-20
8,8635,1,36,7,2015-03-26
4,9,0,24,8,2016-01-15
9,7602,0,23,8,2021-03-26
4,9818,0,33,6,2017-04-23
9,6957,0,27,6,2017-04-14
0,6363,0,37,6,2014-12-05
7,10191,1,33,7,2020-11-16
7,2334,1,26,7,2014-09-29
1,4714,1,31,6,2015-12-12
2,7256,0,30,6,2020-12-18
9,5453,1,38,7,2013-12-06
3,825,1,32,7,2019-11-18
3,9434,0,33,6,2022-07-13
5,5175,0,29,7,2018-07-21
3,7773,1,37,9,2013-10-10
9,3275,1,27,5,2017-12-04
6,4122,0,31,9,2021-10-02
0,9837,1,33,5,2021-10-19
6,7242,1,37,6,2019-08-11
3,2810,0,25,7,2019-06-11
5,8384,1,30,8,2018-01-28
7,787,0,32,5,2017-02-21
8,4201,1,30,6,2013-05-15
1,5159,1,28,9,2015-04-10
7,8292,1,30,7,2021-10-16
8,1000,1,36,7,2016-11-25
5,4926,1,31,8,2017-10-11
0,9785,1,30,6,2014-09-05
0,5452,0,31,6,2018-11-06
7,2126,0,32,8,2021-04-02
1,5525,0,30,6,2021-11-10
9,8469,0,28,8,2014-09-26
4,6257,1,29,7,2013-06-17
1,3052,0,34,6,2020-08-16
6,9809,0,35,7,2021-09-18
3,4075,0,32,5,2017-02-11
7,516,1,28,6,2018-06-05
0,1714,1,28,5,2020-11-25
4,9399,0,33,6,2013-02-16
8,1334,0,32,6,2018-08-17
7,2359,1,33,7,2021-05-10
5,8159,1,33,6,2022-10-30
5,2447,0,37,6,2019-04-17
8,9899,0,32,7,2019-12-18
7,2660,0,39,6,2021-06-15
5,747,0,32,9,2015-10-21
6,3384,0,39,8,2020-09-06
6,1978,0,31,5,2013-02-16
1,636,0,26,6,2021-10-02
9,4983,1,31,8,2019-10-29
5,7350,1,32,6,2020-06-17
4,149,1,37,8,2017-04-28
6,7263,1,32,9,2013-04-11
7,9032,1,32,8,2021-03-14
0,2911,1,38,10,2021-12-08
