id_movie,id_user,user_gender,user_age,rating,date
7,3156,1,27,8,2020-10-24
9,6260,1,38,4,2015-08-04
4,7095,1,32,6,2020-11-07
4,2183,1,35,8,2020-10-27
6,149,0,39,5,2020-04-18
6,8795,0,30,4,2017-03-31
8,2438,1,32,4,2015-04-27
4,3972,0,42,4,2013-08-16
3,6214,1,33,7,2020-05-08
6,6868,0,29,7,2016-11-04
1,9331,0,33,6,2019-11-21
5,7368,1,31,8,2020-10-08
2,2098,1,40,8,2022-06-08
0,7250,1,33,6,2019-07-13
2,3071,0,30,6,2013-05-27
2,10015,1,30,7,2022-01-03
3,1425,0,29,4,2019-05-23
4,5857,0,38,7,2019-06-05
8,789,0,36,5,2015-06-25
8,10341,0,22,9,2015-04-21
0,7173,1,32,6,2021-08-15
0,885,0,27,5,2016-10-15
7,4304,1,33,5,2018-08-14
5,2667,0,24,6,2018-04-05
3,5796,1,37,4,2015-08-05
7,8755,1,41,5,2015-06-19
0,2005,0,30,4,2014-05-15
1,1393,1,37,5,2023-01-10
4,8628,1,33,7,2020-03-18
0,3042,0,28,7,2017-05-24
4,6714,1,37,4,2018-03-23
3,5183,1,33,8,2018-06-21
7,3400,1,33,6,2020-12-27
6,5333,1,37,6,2022-03-18
6,3508,0,44,6,2020-10-29
7,9738,0,33,7,2022-06-26
5,3135,1,23,6,2018-07-01
5,2132,0,35,5,2015-03-06
9,10034,0,32,5,2015-09-29
5,4841,1,31,5,2014-02-17
1,9038,1,31,5,2015-11-28
0,3373,1,33,6,2015-12-28
4,3530,0,35,8,2019-02-17
8,3350,1,27,6,2021-06-08
9,5017,0,27,7,2022-08-28
8,9177,1,29,5,2018-12-17
6,5063,0,37,6,2015-04-15
9,4613,0,35,8,2013-06-23
8,5826,0,36,4,2019-09-17
6,5715,1,31,5,2019-04-25
8,3850,0,30,8,2019-11-09
3,6485,1,31,7,2016-12-10
0,8164,0,36,6,2021-12-29
1,164,0,33,6,2018-01-05
2,5239,1,29,6,2017-11-09
3,9538,0,30,9,2017-10-07
2,7255,1,30,5,2016-04-04
2,4307,1,30,7,2017-11-01
1,177,1,32,4,2016-07-19
0,782,1,30,7,2022-01-14
0,8789,0,32,6,2014-10-16
4,1320,0,24,7,2016-12-06
1,5903,0,31,8,2019-06-21
6,8256,0,34,6,2019-10-11
9,1119,1,34,5,2013-08-12
9,7832,0,36,7,2020-10-20
0,7610,1,39,6,2015-08-22
1,1299,0,33,6,2017-04-26
3,2864,1,36,3,2018-02-03
5,9802,1,34,7,2015-01-07
9,5827,1,34,7,2016-10-19
1,3879,0,33,6,2014-10-14
