id_music,id_user,user_gender,user_age,rating,date
9,10035,1,39,9,2019-07-20
0,1806,1,43,6,2015-12-18
6,8587,1,41,10,2014-11-11
8,7620,1,46,5,2018-01-02
4,7108,0,44,6,2023-03-19
7,8755,1,41,9,2016-01-05
4,5584,1,46,6,2022-04-18
7,3206,1,46,10,2017-05-26
8,6396,1,40,9,2016-12-13
8,2129,0,42,6,2023-03-28
5,6984,1,33,8,2017-05-08
5,7168,0,42,10,2022-04-09
8,7348,1,44,9,2015-11-16
8,7927,1,38,6,2014-04-15
5,9117,1,43,7,2016-05-31
8,6350,0,39,8,2020-09-11
1,2162,1,53,9,2017-05-08
9,7245,0,41,7,2019-11-09
5,5190,1,44,7,2018-07-06
3,31,1,43,7,2014-03-30
6,6331,1,49,9,2018-04-09
1,8788,0,42,9,2020-01-16
5,5610,1,41,6,2018-08-27
9,7679,1,42,6,2017-04-30
7,7225,1,43,9,2016-02-07
8,5824,0,37,9,2020-02-19
2,3123,0,38,6,2020-12-30
4,1553,0,40,8,2019-01-30
0,8118,1,42,5,2017-09-13
3,4171,1,41,6,2021-09-08
9,7261,1,43,8,2022-03-26
6,457,0,35,9,2020-01-31
6,6755,1,47,7,2013-07-17
7,4068,0,39,7,2018-11-20
8,2219,1,43,9,2022-03-09
9,4978,1,38,5,2014-11-13
0,9468,1,47,9,2020-01-04
5,712,0,40,8,2014-11-09
9,2067,1,42,7,2017-01-19
6,3195,1,36,9,2016-03-15
5,1567,0,45,6,2020-02-01
2,238,1,36,5,2021-04-28
1,340,0,41,8,2016-12-03
0,1529,1,44,9,2021-12-07
4,4803,1,41,8,2014-12-14
5,8282,0,37,7,2016-12-02
4,9967,1,39,7,2017-10-01
0,10338,0,40,7,2022-05-18
7,9018,0,35,8,2020-06-02
6,4583,1,40,6,2015-03-24
6,448,1,41,8,2014-11-29
7,2654,1,35,8,2021-08-19
7,9342,0,41,4,2022-07-25
3,7596,0,39,9,2020-08-20
9,3265,0,30,8,2017-06-16
1,5796,0,41,6,2017-07-04
7,2297,0,38,9,2018-10-25
9,1784,1,42,6,2019-01-26
5,2316,1,43,5,2016-08-28
3,8780,0,36,9,2013-01-27
6,7455,0,39,7,2018-08-03
0,743,0,44,7,2015-09-18
4,1902,0,33,7,2022-05-03
8,1495,1,39,7,2013-05-12
0,6998,1,39,7,2015-07-14
5,3355,0,37,7,2013-01-26
0,4768,1,41,7,2022-06-18
8,9860,0,37,8,2023-02-21
8,3550,1,34,8,2014-11-19
4,3490,0,41,10,2019-11-07
6,391,1,35,8,2018-07-09
5,7400,0,42,5,2013-06-09
6,8633,1,41,7,2019-07-27
0,1204,1,46,7,2013-12-13
